cat1,product_id,ProductoCompleto12,ProductoCompleto24
FOODS,20004,Sí,Sí
FOODS,20005,Sí,Sí
FOODS,20007,No,No
FOODS,20009,No,No
FOODS,20012,No,No
FOODS,20013,No,No
FOODS,20014,No,No
FOODS,20015,No,No
FOODS,20016,No,No
FOODS,20020,No,No
FOODS,20022,No,No
FOODS,20023,Sí,Sí
FOODS,20024,No,No
FOODS,20025,No,No
FOODS,20027,No,No
FOODS,20029,No,No
FOODS,20030,No,No
FOODS,20031,No,No
FOODS,20032,No,No
FOODS,20033,Sí,Sí
FOODS,20037,Sí,Sí
FOODS,20038,No,No
FOODS,20041,No,No
FOODS,20043,No,No
FOODS,20047,No,No
FOODS,20048,Sí,Sí
FOODS,20050,No,No
FOODS,20054,No,No
FOODS,20056,No,No
FOODS,20057,No,No
FOODS,20058,No,No
FOODS,20059,No,No
FOODS,20061,No,No
FOODS,20062,No,No
FOODS,20063,No,No
FOODS,20065,No,No
FOODS,20066,No,No
FOODS,20067,No,No
FOODS,20068,No,No
FOODS,20069,No,No
FOODS,20070,No,No
FOODS,20071,No,No
FOODS,20072,No,No
FOODS,20073,No,No
FOODS,20074,No,No
FOODS,20075,No,No
FOODS,20076,No,No
FOODS,20077,Sí,Sí
FOODS,20078,Sí,Sí
FOODS,20079,Sí,Sí
FOODS,20080,No,No
FOODS,20081,No,No
FOODS,20082,No,No
FOODS,20084,Sí,Sí
FOODS,20085,No,No
FOODS,20087,No,No
FOODS,20088,No,No
FOODS,20089,No,No
FOODS,20090,Sí,Sí
FOODS,20091,No,No
FOODS,20092,No,No
FOODS,20093,No,No
FOODS,20094,No,No
FOODS,20095,Sí,Sí
FOODS,20096,Sí,Sí
FOODS,20097,No,No
FOODS,20099,No,No
FOODS,20100,Sí,Sí
FOODS,20101,No,No
FOODS,20102,No,No
FOODS,20103,No,No
FOODS,20105,Sí,Sí
FOODS,20106,No,No
FOODS,20107,Sí,Sí
FOODS,20108,Sí,Sí
FOODS,20109,No,No
FOODS,20111,No,No
FOODS,20112,No,No
FOODS,20113,No,No
FOODS,20114,No,No
FOODS,20115,No,No
FOODS,20116,Sí,Sí
FOODS,20117,No,No
FOODS,20118,Sí,Sí
FOODS,20119,Sí,Sí
FOODS,20120,No,No
FOODS,20121,Sí,Sí
FOODS,20122,No,No
FOODS,20123,No,No
FOODS,20124,No,No
FOODS,20125,No,No
FOODS,20126,No,No
FOODS,20127,No,No
FOODS,20128,No,No
FOODS,20129,No,No
FOODS,20130,No,No
FOODS,20132,No,No
FOODS,20133,No,No
FOODS,20134,No,No
FOODS,20135,No,No
FOODS,20136,Sí,No
FOODS,20137,No,No
FOODS,20138,No,No
FOODS,20139,No,No
FOODS,20140,No,No
FOODS,20142,Sí,Sí
FOODS,20143,No,No
FOODS,20144,No,No
FOODS,20145,No,No
FOODS,20146,Sí,Sí
FOODS,20148,No,No
FOODS,20149,No,No
FOODS,20150,No,No
FOODS,20151,No,No
FOODS,20152,Sí,Sí
FOODS,20153,No,No
FOODS,20155,No,No
FOODS,20157,No,No
FOODS,20158,Sí,Sí
FOODS,20159,No,No
FOODS,20160,No,No
FOODS,20161,Sí,Sí
FOODS,20162,No,No
FOODS,20163,No,No
FOODS,20164,No,No
FOODS,20165,No,No
FOODS,20166,No,No
FOODS,20167,No,No
FOODS,20168,No,No
FOODS,20169,Sí,Sí
FOODS,20170,No,No
FOODS,20171,No,No
FOODS,20173,Sí,Sí
FOODS,20174,No,No
FOODS,20175,Sí,Sí
FOODS,20176,No,No
FOODS,20177,No,No
FOODS,20178,No,No
FOODS,20179,No,No
FOODS,20181,No,No
FOODS,20182,No,No
FOODS,20183,No,No
FOODS,20184,No,No
FOODS,20185,No,No
FOODS,20186,Sí,No
FOODS,20187,No,No
FOODS,20188,No,No
FOODS,20189,No,No
FOODS,20190,No,No
FOODS,20191,No,No
FOODS,20192,Sí,No
FOODS,20194,Sí,Sí
FOODS,20196,No,No
FOODS,20197,No,No
FOODS,20198,No,No
FOODS,20200,No,No
FOODS,20201,No,No
FOODS,20202,No,No
FOODS,20203,No,No
FOODS,20205,No,No
FOODS,20206,No,No
FOODS,20207,Sí,Sí
FOODS,20208,No,No
FOODS,20209,No,No
FOODS,20210,No,No
FOODS,20211,Sí,Sí
FOODS,20212,No,No
FOODS,20213,No,No
FOODS,20215,No,No
FOODS,20216,Sí,Sí
FOODS,20217,No,No
FOODS,20218,No,No
FOODS,20219,No,No
FOODS,20220,No,No
FOODS,20222,No,No
FOODS,20224,Sí,Sí
FOODS,20225,No,No
FOODS,20226,No,No
FOODS,20227,Sí,Sí
FOODS,20228,Sí,Sí
FOODS,20229,Sí,No
FOODS,20230,No,No
FOODS,20231,No,No
FOODS,20232,Sí,Sí
FOODS,20233,No,No
FOODS,20234,Sí,Sí
FOODS,20235,No,No
FOODS,20236,No,No
FOODS,20237,Sí,No
FOODS,20238,No,No
FOODS,20239,No,No
FOODS,20240,Sí,Sí
FOODS,20241,No,No
FOODS,20242,Sí,Sí
FOODS,20244,No,No
FOODS,20246,No,No
FOODS,20249,Sí,Sí
FOODS,20250,Sí,Sí
FOODS,20251,No,No
FOODS,20252,No,No
FOODS,20253,No,No
FOODS,20254,No,No
FOODS,20255,No,No
FOODS,20256,No,No
FOODS,20257,No,No
FOODS,20259,Sí,Sí
FOODS,20261,No,No
FOODS,20262,No,No
FOODS,20263,No,No
FOODS,20264,Sí,Sí
FOODS,20265,Sí,Sí
FOODS,20266,Sí,No
FOODS,20267,No,No
FOODS,20268,No,No
FOODS,20269,No,No
FOODS,20270,Sí,Sí
FOODS,20271,Sí,Sí
FOODS,20272,No,No
FOODS,20273,No,No
FOODS,20275,No,No
FOODS,20276,No,No
FOODS,20277,No,No
FOODS,20278,Sí,Sí
FOODS,20280,No,No
FOODS,20281,No,No
FOODS,20282,No,No
FOODS,20283,No,No
FOODS,20284,No,No
FOODS,20285,Sí,Sí
FOODS,20286,No,No
FOODS,20288,No,No
FOODS,20289,Sí,Sí
FOODS,20290,No,No
FOODS,20291,No,No
FOODS,20292,No,No
FOODS,20295,No,No
FOODS,20296,No,No
FOODS,20297,No,No
FOODS,20298,No,No
FOODS,20299,Sí,Sí
FOODS,20300,No,No
FOODS,20301,No,No
FOODS,20302,Sí,Sí
FOODS,20303,No,No
FOODS,20304,No,No
FOODS,20305,Sí,Sí
FOODS,20306,No,No
FOODS,20307,No,No
FOODS,20308,No,No
FOODS,20309,No,No
FOODS,20310,No,No
FOODS,20311,No,No
FOODS,20312,No,No
FOODS,20313,No,No
FOODS,20314,No,No
FOODS,20315,No,No
FOODS,20316,No,No
FOODS,20317,No,No
FOODS,20319,No,No
FOODS,20321,No,No
FOODS,20322,Sí,Sí
FOODS,20323,Sí,Sí
FOODS,20324,No,No
FOODS,20325,Sí,Sí
FOODS,20326,No,No
FOODS,20327,No,No
FOODS,20328,Sí,Sí
FOODS,20329,No,No
FOODS,20330,No,No
FOODS,20332,No,No
FOODS,20334,No,No
FOODS,20335,No,No
FOODS,20336,No,No
FOODS,20337,No,No
FOODS,20338,No,No
FOODS,20340,No,No
FOODS,20341,No,No
FOODS,20342,No,No
FOODS,20343,No,No
FOODS,20344,No,No
FOODS,20345,No,No
FOODS,20346,No,No
FOODS,20348,No,No
FOODS,20349,No,No
FOODS,20350,Sí,Sí
FOODS,20351,No,No
FOODS,20352,No,No
FOODS,20353,No,No
FOODS,20354,No,No
FOODS,20355,No,No
FOODS,20356,No,No
FOODS,20357,No,No
FOODS,20358,No,No
FOODS,20359,No,No
FOODS,20360,Sí,Sí
FOODS,20361,No,No
FOODS,20362,No,No
FOODS,20364,No,No
FOODS,20365,No,No
FOODS,20366,No,No
FOODS,20367,No,No
FOODS,20368,No,No
FOODS,20372,No,No
FOODS,20374,No,No
FOODS,20375,Sí,Sí
FOODS,20376,No,No
FOODS,20377,No,No
FOODS,20378,No,No
FOODS,20379,Sí,Sí
FOODS,20380,No,No
FOODS,20381,No,No
FOODS,20382,No,No
FOODS,20383,No,No
FOODS,20384,Sí,Sí
FOODS,20385,No,No
FOODS,20386,No,No
FOODS,20387,No,No
FOODS,20388,No,No
FOODS,20389,No,No
FOODS,20390,No,No
FOODS,20394,Sí,Sí
FOODS,20395,No,No
FOODS,20396,Sí,Sí
FOODS,20398,Sí,Sí
FOODS,20399,Sí,Sí
FOODS,20400,No,No
FOODS,20401,No,No
FOODS,20402,No,No
FOODS,20403,No,No
FOODS,20404,No,No
FOODS,20406,No,No
FOODS,20407,No,No
FOODS,20408,No,No
FOODS,20409,Sí,Sí
FOODS,20410,No,No
FOODS,20411,No,No
FOODS,20412,No,No
FOODS,20413,No,No
FOODS,20414,No,No
FOODS,20415,No,No
FOODS,20416,Sí,Sí
FOODS,20417,No,No
FOODS,20418,Sí,Sí
FOODS,20419,No,No
FOODS,20421,No,No
FOODS,20422,Sí,Sí
FOODS,20424,No,No
FOODS,20426,No,No
FOODS,20428,Sí,Sí
FOODS,20429,Sí,Sí
FOODS,20432,No,No
FOODS,20433,No,No
FOODS,20434,No,No
FOODS,20435,Sí,Sí
FOODS,20436,No,No
FOODS,20437,No,No
FOODS,20438,No,No
FOODS,20440,No,No
FOODS,20442,No,No
FOODS,20443,No,No
FOODS,20447,No,No
FOODS,20449,Sí,Sí
FOODS,20450,No,No
FOODS,20453,No,No
FOODS,20454,Sí,Sí
FOODS,20456,No,No
FOODS,20458,No,No
FOODS,20459,Sí,No
FOODS,20460,Sí,No
FOODS,20463,No,No
FOODS,20464,No,No
FOODS,20465,No,No
FOODS,20466,No,No
FOODS,20468,No,No
FOODS,20469,No,No
FOODS,20470,No,No
FOODS,20471,Sí,Sí
FOODS,20473,No,No
FOODS,20474,No,No
FOODS,20476,No,No
FOODS,20477,No,No
FOODS,20478,No,No
FOODS,20479,No,No
FOODS,20480,No,No
FOODS,20481,No,No
FOODS,20482,No,No
FOODS,20483,No,No
FOODS,20484,No,No
FOODS,20485,No,No
FOODS,20487,No,No
FOODS,20488,No,No
FOODS,20490,Sí,Sí
